Segment,Segmentation Health Status,Segment Description
H1,Healthy,Self-Engaged Optimists
H2,Healthy,Auto-Pilot Participators
H3,Healthy,Health Services Maximizers
H4,Healthy,Healthy Self-Sustainers
H5,Healthy,Simplicity-Seeking Followers
H6,Healthy,Skeptical Control-Seekers A
H7,Healthy,Skeptical Control-Seekers B
H8,Healthy,Overwhelmed and Reluctant Reactors
C1,Chronic,Support-Seeking Participators
C2,Chronic,Self-Engaged Optimists
C3,Chronic,Health Services Maximizers
C4,Chronic,Auto-Pilot Participators
C5,Chronic,Simplicity-Seeking Followers
C6,Chronic,Skeptical Control-Seekers
C7,Chronic,Overwhelmed and Reluctant Reactors
